iduser,pop57,edfa57q,edmo57q,sesp57,hsdm57,hsrankq,tchevl,gwiiq_bm,relfml,milty,mlentr,mx014rer,mx015rer,iduser0,sexrsp,packyears,edfa57qmis,edmo57qmis,sesp57mis,hsrankqmis
192084,6,18,16,4,3,90,1,113,39,0,-2,20,2,1,,40,0,0,0,0
192086,6,12,12,4,3,6,0,91,38,0,-2,38,1,1,,38,0,0,0,0
192087,6,18,16,3,3,83,0,111,43,0,-2,0,0,1,,0,0,0,0,0
192090,6,7,7,3,3,14,0,97,1,1,2,30,0,1,,0,0,0,0,0
192091,6,10,7,4,3,72,0,93,1,0,-2,0,0,1,,0,0,0,0,0
192094,6,13,13,4,3,26,0,94,39,1,2,25,1,1,,25,0,0,0,0
192105,6,14,12,3,3,42,0,104,1,1,2,0,0,1,,0,0,0,0,0
194003,3,7,12,3,3,5,0,97,39,1,2,40,2,1,,80,0,0,0,0
194012,3,12,12,3,3,97,1,139,1,0,-2,8,0,1,,0,0,0,0,0
195003,2,12,10,3,3,95,1,117,1,0,-2,0,0,1,,0,0,0,0,0
196005,3,7,7,3,3,-3,0,88,43,0,-2,15,1,1,,15,0,0,0,1
196010,3,7,-1,3,3,48,1,102,39,0,-2,25,2,1,,50,0,1,0,0
196011,3,12,12,2,3,-3,0,104,43,0,-2,0,0,1,,0,0,0,0,1
196012,3,10,12,3,3,20,0,106,43,1,2,33,1,1,,33,0,0,0,0
197001,3,7,7,3,3,39,1,78,39,0,-2,0,0,1,,0,0,0,0,0
197010,3,10,12,2,3,6,0,75,1,1,2,35,1,1,,35,0,0,0,0
198001,2,7,12,3,3,28,0,94,39,1,2,0,0,1,,0,0,0,0,0
198002,2,7,7,3,3,17,0,85,1,0,-2,25,1,1,,25,0,0,0,0
198005,2,12,16,4,3,15,0,117,1,1,2,25,3,1,,75,0,0,0,0
198008,2,7,12,2,3,42,0,107,1,1,2,0,0,1,,0,0,0,0,0
198015,2,7,10,-3,3,32,0,96,39,1,2,7,0,1,,0,0,0,1,0
198016,2,16,12,3,3,96,1,139,71,0,-2,0,0,1,,0,0,0,0,0
199002,2,12,12,3,3,19,0,104,1,1,2,30,1,1,,30,0,0,0,0
199004,2,7,16,2,3,56,0,109,39,0,-2,20,1,1,,20,0,0,0,0
199005,2,16,12,3,3,36,0,99,39,1,2,0,0,1,,0,0,0,0,0
199006,2,7,7,3,3,72,0,123,39,0,-2,0,0,1,,0,0,0,0,0
199008,2,7,12,3,3,69,0,104,1,0,-2,0,0,1,,0,0,0,0,0
199009,2,7,7,3,3,3,0,101,39,1,2,35,2,1,,70,0,0,0,0
200001,6,10,7,2,3,30,0,75,43,1,2,20,1,1,,20,0,0,0,0
200006,6,7,12,4,3,58,0,103,39,1,2,38,0,1,,0,0,0,0,0
200010,6,10,12,3,3,59,0,94,40,1,2,3,0,1,,0,0,0,0,0
200013,6,12,12,4,3,80,0,125,39,1,4,24,2,1,,48,0,0,0,0
200019,6,12,10,3,3,41,0,103,1,1,2,40,1,1,,40,0,0,0,0
200043,6,18,12,3,3,79,0,117,43,0,-2,8,1,1,,8,0,0,0,0
200051,6,13,7,3,3,30,0,102,39,0,-2,0,0,1,,0,0,0,0,0
200060,6,14,12,3,3,83,0,115,41,1,2,35,1,1,,35,0,0,0,0
200065,6,7,7,3,3,34,0,92,1,1,2,0,0,1,,0,0,0,0,0
200066,6,10,10,3,3,2,0,71,39,0,-2,24,1,1,,24,0,0,0,0
200068,6,-1,16,4,3,73,0,117,96,1,4,7,1,1,,7,1,0,0,0
200071,6,14,12,4,3,37,0,107,38,0,-2,17,1,1,,17,0,0,0,0
200073,6,12,10,2,3,65,0,102,1,0,-2,10,2,1,,20,0,0,0,0
200077,6,13,12,2,3,-3,0,106,43,1,2,0,0,1,,0,0,0,0,1
200081,6,7,12,3,3,72,0,109,43,0,-2,0,0,1,,0,0,0,0,0
201003,9,10,12,3,3,46,0,73,96,1,1,19,2,1,,38,0,0,0,0
201006,2,7,10,3,3,26,0,102,41,1,2,18,1,1,,18,0,0,0,0
201007,9,10,12,3,3,49,1,92,1,0,-2,0,0,1,,0,0,0,0,0
201008,9,14,10,3,3,23,0,93,38,0,-2,23,3,1,,69,0,0,0,0
201010,9,10,12,2,3,27,0,98,1,0,-2,12,1,1,,12,0,0,0,0
201025,9,12,12,3,3,93,1,127,96,0,-2,20,2,1,,40,0,0,0,0
201033,9,13,12,4,3,16,0,94,96,0,-2,12,1,1,,12,0,0,0,0
201034,9,10,10,2,3,62,0,113,1,1,1,30,1,1,,30,0,0,0,0
201037,9,7,7,3,3,83,0,96,1,0,-2,0,0,1,,0,0,0,0,0
201057,9,7,7,3,3,1,0,85,1,1,1,25,1,1,,25,0,0,0,0
202001,3,10,13,3,3,38,0,87,40,0,-2,0,0,1,,0,0,0,0,0
202005,3,10,7,3,3,25,0,81,40,0,-2,11,1,1,,11,0,0,0,0
202008,3,-1,-1,3,3,58,0,98,96,1,1,0,0,1,,0,1,1,0,0
202009,3,12,7,3,3,32,0,76,1,1,1,0,0,1,,0,0,0,0,0
